aa, 0.02503%
ab, 0.17035%
ac, 0.32394%
ad, 0.48148%
ae, 0.00863%
af, 0.10378%
ag, 0.16362%
ah, 0.04234%
ai, 0.35900%
aj, 0.00967%
ak, 0.10696%
al, 0.59720%
am, 0.22884%
an, 1.82593%
ao, 0.00852%
ap, 0.20899%
aq, 0.00422%
ar, 0.73515%
as, 0.91871%
at, 1.15337%
au, 0.10119%
av, 0.18933%
aw, 0.13099%
ax, 0.00171%
ay, 0.22009%
az, 0.01540%
ba, 0.12857%
bb, 0.00939%
bc, 0.00044%
bd, 0.00084%
be, 0.44841%
bf, 0.00016%
bg, 0.00008%
bh, 0.00072%
bi, 0.04079%
bj, 0.00696%
bl, 0.14377%
bm, 0.00302%
bn, 0.00064%
bo, 0.16195%
bp, 0.00012%
bq, 0.00004%
br, 0.07863%
bs, 0.01942%
bt, 0.01102%
bu, 0.20867%
bv, 0.00195%
bw, 0.00143%
by, 0.10067%
ca, 0.26871%
cb, 0.00107%
cc, 0.04286%
cd, 0.00123%
ce, 0.52083%
cf, 0.00131%
cg, 0.00072%
ch, 0.44599%
ci, 0.10219%
cj, 0.00008%
ck, 0.10445%
cl, 0.07958%
cm, 0.00068%
cn, 0.00024%
co, 0.50754%
cp, 0.00107%
cq, 0.00478%
cr, 0.08241%
cs, 0.00708%
ct, 0.15949%
cu, 0.06701%
cv, 0.00024%
cw, 0.00151%
cy, 0.01245%
cz, 0.00024%
da, 0.45645%
db, 0.18698%
dc, 0.07938%
dd, 0.12419%
de, 0.59548%
df, 0.10441%
dg, 0.06291%
dh, 0.29860%
di, 0.47253%
dj, 0.01898%
dk, 0.01994%
dl, 0.11078%
dm, 0.09638%
dn, 0.17592%
do, 0.36004%
dp, 0.10382%
dq, 0.00792%
dr, 0.21241%
ds, 0.29625%
dt, 0.55669%
du, 0.07584%
dv, 0.02706%
dw, 0.16744%
dx, 0.00004%
dy, 0.07377%
dz, 0.00135%
ea, 1.01015%
eb, 0.19562%
ec, 0.46596%
ed, 1.30063%
ee, 0.43906%
ef, 0.33592%
eg, 0.17703%
eh, 0.35518%
ei, 0.33728%
ej, 0.01369%
ek, 0.04608%
el, 0.53369%
em, 0.45255%
en, 1.14875%
eo, 0.33879%
ep, 0.31046%
eq, 0.02435%
er, 1.89771%
es, 1.18814%
et, 0.74781%
eu, 0.05447%
ev, 0.26565%
ew, 0.48287%
ex, 0.12403%
ey, 0.20198%
ez, 0.00848%
fa, 0.23461%
fb, 0.02296%
fc, 0.02531%
fd, 0.01405%
fe, 0.19454%
ff, 0.13107%
fg, 0.01094%
fh, 0.08531%
fi, 0.22025%
fj, 0.00390%
fk, 0.00426%
fl, 0.06211%
fm, 0.02933%
fn, 0.01210%
fo, 0.34281%
fp, 0.02288%
fq, 0.00068%
fr, 0.23979%
fs, 0.04508%
ft, 0.32904%
fu, 0.07903%
fv, 0.00565%
fw, 0.03736%
fy, 0.01568%
fz, 0.00020%
ga, 0.25865%
gb, 0.03653%
gc, 0.01898%
gd, 0.01918%
ge, 0.24766%
gf, 0.03311%
gg, 0.02726%
gh, 0.32518%
gi, 0.15097%
gj, 0.00251%
gk, 0.00187%
gl, 0.07294%
gm, 0.02447%
gn, 0.05459%
go, 0.19124%
gp, 0.02264%
gq, 0.00159%
gr, 0.13151%
gs, 0.08046%
gt, 0.19438%
gu, 0.06554%
gv, 0.00410%
gw, 0.05018%
gy, 0.00987%
gz, 0.00036%
ha, 1.19391%
hb, 0.01834%
hc, 0.02045%
hd, 0.01703%
he, 2.99584%
hf, 0.01683%
hg, 0.00836%
hh, 0.08352%
hi, 1.06061%
hj, 0.00167%
hk, 0.00601%
hl, 0.01508%
hm, 0.03450%
hn, 0.01647%
ho, 0.57356%
hp, 0.01962%
hq, 0.00123%
hr, 0.06247%
hs, 0.04898%
ht, 0.27090%
hu, 0.06796%
hv, 0.00334%
hw, 0.04290%
hy, 0.04624%
hz, 0.00028%
ia, 0.14369%
ib, 0.05690%
ic, 0.34830%
id, 0.36135%
ie, 0.33759%
if, 0.15177%
ig, 0.17262%
ih, 0.02364%
ii, 0.01405%
ij, 0.00060%
ik, 0.06005%
il, 0.34213%
im, 0.40233%
in, 1.92139%
io, 0.29557%
ip, 0.03593%
iq, 0.00171%
ir, 0.23915%
is, 0.89209%
it, 0.86245%
iu, 0.00676%
iv, 0.13728%
iw, 0.02658%
ix, 0.01154%
iy, 0.00056%
iz, 0.02368%
ja, 0.00390%
je, 0.01898%
ji, 0.00044%
jo, 0.02849%
ju, 0.04707%
ka, 0.05674%
kb, 0.00820%
kc, 0.00593%
kd, 0.00302%
ke, 0.22737%
kf, 0.00772%
kg, 0.00322%
kh, 0.05038%
ki, 0.14846%
kj, 0.00040%
kk, 0.00048%
kl, 0.01675%
km, 0.00565%
kn, 0.08639%
ko, 0.04676%
kp, 0.00593%
kq, 0.00056%
kr, 0.00800%
ks, 0.03999%
kt, 0.02992%
ku, 0.02984%
kv, 0.00088%
kw, 0.01624%
ky, 0.00816%
kz, 0.00004%
la, 0.36191%
lb, 0.02821%
lc, 0.02085%
ld, 0.28949%
le, 0.68955%
lf, 0.10955%
lg, 0.01556%
lh, 0.03641%
li, 0.40556%
lj, 0.00096%
lk, 0.04572%
ll, 0.53512%
lm, 0.03725%
ln, 0.01755%
lo, 0.36330%
lp, 0.03056%
lq, 0.00175%
lr, 0.03315%
ls, 0.10119%
lt, 0.15360%
lu, 0.06291%
lv, 0.02073%
lw, 0.05241%
ly, 0.40711%
lz, 0.00107%
ma, 0.45765%
mb, 0.06673%
mc, 0.01078%
md, 0.00871%
me, 0.60798%
mf, 0.01862%
mg, 0.00617%
mh, 0.04349%
mi, 0.23075%
mj, 0.00092%
mk, 0.00231%
ml, 0.01289%
mm, 0.06534%
mn, 0.02077%
mo, 0.29422%
mp, 0.14886%
mq, 0.00092%
mr, 0.01130%
ms, 0.10425%
mt, 0.10744%
mu, 0.07194%
mv, 0.00346%
mw, 0.03943%
my, 0.10358%
mz, 0.00004%
na, 0.45335%
nb, 0.06001%
nc, 0.40795%
nd, 1.40234%
ne, 0.62549%
nf, 0.08718%
ng, 1.01143%
nh, 0.16040%
ni, 0.34074%
nj, 0.00848%
nk, 0.06649%
nl, 0.11050%
nm, 0.04628%
nn, 0.09908%
no, 0.61693%
np, 0.05113%
nq, 0.01242%
nr, 0.03808%
ns, 0.35482%
nt, 1.02201%
nu, 0.05483%
nv, 0.03756%
nw, 0.11898%
nx, 0.00334%
ny, 0.09598%
nz, 0.00123%
oa, 0.13366%
ob, 0.09642%
oc, 0.09455%
od, 0.16390%
oe, 0.04170%
of, 0.69656%
og, 0.06020%
oh, 0.14544%
oi, 0.12168%
oj, 0.00481%
ok, 0.14779%
ol, 0.34197%
om, 0.48721%
on, 1.11465%
oo, 0.32387%
op, 0.15984%
oq, 0.00279%
or, 0.81187%
os, 0.35486%
ot, 0.58379%
ou, 0.94183%
ov, 0.27818%
ow, 0.44985%
ox, 0.00561%
oy, 0.05157%
oz, 0.00509%
pa, 0.21030%
pb, 0.00609%
pc, 0.00724%
pd, 0.00171%
pe, 0.33624%
pf, 0.00784%
pg, 0.00052%
ph, 0.02571%
pi, 0.17393%
pj, 0.00056%
pk, 0.00111%
pl, 0.16832%
pm, 0.00398%
pn, 0.00223%
po, 0.19800%
pp, 0.10553%
pq, 0.00040%
pr, 0.30894%
ps, 0.04787%
pt, 0.10127%
pu, 0.04691%
pv, 0.00036%
pw, 0.01066%
py, 0.01365%
qr, 0.00004%
qu, 0.09224%
ra, 0.49533%
rb, 0.06204%
rc, 0.09864%
rd, 0.20417%
re, 1.44381%
rf, 0.07584%
rg, 0.06868%
rh, 0.12327%
ri, 0.59692%
rj, 0.00310%
rk, 0.04043%
rl, 0.08054%
rm, 0.16100%
rn, 0.12841%
ro, 0.65808%
rp, 0.06450%
rq, 0.00287%
rr, 0.22164%
rs, 0.43039%
rt, 0.36791%
ru, 0.12845%
rv, 0.03904%
rw, 0.09522%
rx, 0.00844%
ry, 0.24285%
rz, 0.00346%
sa, 0.69612%
sb, 0.11806%
sc, 0.17540%
sd, 0.07298%
se, 0.75831%
sf, 0.12168%
